steps,iteration,phase,mean_reward,vf_loss,entropy,kl
25362432,387,2,2615.65,204.7163,32.3908,0.0248
25427968,388,2,2893.04,211.8936,32.4016,0.0243
25493504,389,2,2626.64,188.4925,32.4065,0.0238
25559040,390,2,2799.31,207.0543,32.4134,0.0230
25624576,391,2,2852.27,211.3921,32.4160,0.0230
25690112,392,2,2841.79,220.0672,32.4171,0.0241
25755648,393,2,3121.39,225.9155,32.4192,0.0284
25821184,394,2,2608.31,193.3809,32.4222,0.0260
25886720,395,2,2590.82,208.6955,32.4228,0.0241
25952256,396,2,2763.55,215.3528,32.4178,0.0225
26017792,397,2,2933.17,207.0696,32.4197,0.0276
26083328,398,2,2892.37,213.4000,32.4159,0.0282
26148864,399,2,3000.87,205.2058,32.4164,0.0245
26214400,400,2,3019.41,218.1035,32.4147,0.0281
26279936,401,2,3018.65,200.4130,32.4181,0.0265
26345472,402,2,3165.65,231.1819,32.4227,0.0270
26411008,403,2,3112.06,205.5006,32.4266,0.0263
26476544,404,2,2978.82,210.0331,32.4298,0.0277
26542080,405,2,2963.63,203.7275,32.4287,0.0259
26607616,406,2,3008.60,198.1630,32.4277,0.0244
26673152,407,2,2920.47,217.6685,32.4244,0.0271
26738688,408,2,3011.34,209.8706,32.4308,0.0273
26804224,409,2,3102.33,209.4951,32.4359,0.0279
26869760,410,2,3031.62,208.5682,32.4356,0.0281
26935296,411,2,2983.08,197.9891,32.4366,0.0293
27000832,412,2,3089.64,198.9424,32.4380,0.0273
27066368,413,2,3090.48,199.3450,32.4396,0.0271
27131904,414,2,3081.73,205.2119,32.4397,0.0262
27197440,415,2,3050.35,198.4971,32.4412,0.0214
27262976,416,2,3071.62,218.8853,32.4484,0.0258
27328512,417,2,2993.70,227.6766,32.4583,0.0249
27394048,418,2,3055.08,223.5396,32.4636,0.0226
27459584,419,2,2845.25,189.5918,32.4620,0.0236
27525120,420,2,2949.92,210.0671,32.4651,0.0225
27590656,421,2,2892.84,202.1881,32.4596,0.0233
27656192,422,2,3009.49,209.4943,32.4505,0.0249
27721728,423,2,2907.31,205.2564,32.4518,0.0249
27787264,424,2,2894.24,212.2981,32.4492,0.0232
27852800,425,2,2810.93,217.0121,32.4485,0.0234
27918336,426,2,2352.69,177.0783,32.4514,0.0227
27983872,427,2,2631.16,214.3435,32.4456,0.0233
28049408,428,2,2802.63,207.8419,32.4483,0.0222
28114944,429,2,2853.90,206.1951,32.4512,0.0237
28180480,430,2,2973.68,212.2864,32.4530,0.0224
28246016,431,2,2879.42,203.0363,32.4609,0.0223
28311552,432,2,2840.14,212.0225,32.4610,0.0247
28377088,433,2,2960.70,228.6522,32.4687,0.0258
28442624,434,2,2936.12,197.1854,32.4745,0.0251
28508160,435,2,2915.14,228.8322,32.4772,0.0238
28573696,436,2,3001.24,207.3910,32.4797,0.0259
28639232,437,2,3041.97,230.1899,32.4837,0.0280
28704768,438,2,3114.41,201.9713,32.4922,0.0252
28770304,439,2,3044.32,207.5426,32.4948,0.0236
28835840,440,2,3004.34,216.6734,32.5015,0.0259
28901376,441,2,2522.92,187.6614,32.4994,0.0225
28966912,442,2,2740.69,199.5090,32.5052,0.0231
29032448,443,2,2830.28,203.3763,32.5110,0.0227
29097984,444,2,2622.11,193.4921,32.5106,0.0238
29163520,445,2,2664.91,186.4319,32.5120,0.0233
29229056,446,2,2789.51,224.8780,32.5186,0.0230
29294592,447,2,3012.19,205.2304,32.5260,0.0234
29360128,448,2,3045.65,215.8517,32.5292,0.0249
29425664,449,2,2983.17,213.6202,32.5295,0.0219
29491200,450,2,3045.89,219.8527,32.5261,0.0217
29556736,451,2,3079.33,216.7386,32.5231,0.0225
29622272,452,2,3138.70,216.9591,32.5281,0.0212
29687808,453,2,3107.11,211.1562,32.5307,0.0247
29753344,454,2,3173.82,253.1757,32.5369,0.0235
29818880,455,2,2941.00,231.6955,32.5330,0.0219
29884416,456,2,3145.93,223.1844,32.5341,0.0234
29949952,457,2,3061.69,231.9135,32.5334,0.0222
30015488,458,2,2903.48,222.5768,32.5437,0.0229
30081024,459,2,2890.66,226.2258,32.5495,0.0250
30146560,460,2,2953.84,237.3227,32.5564,0.0215
30212096,461,2,2810.98,222.3254,32.5639,0.0228
30277632,462,2,3036.37,216.9828,32.5698,0.0234
30343168,463,2,2974.37,227.3243,32.5675,0.0234
30408704,464,2,3169.06,229.5652,32.5689,0.0225
30474240,465,2,3141.61,217.4300,32.5716,0.0238
30539776,466,2,3252.24,234.0484,32.5762,0.0218
30605312,467,2,3155.53,227.8891,32.5758,0.0248
30670848,468,2,3324.27,240.4476,32.5736,0.0230
30736384,469,2,3297.25,238.4516,32.5751,0.0216
30801920,470,2,3016.86,230.0498,32.5719,0.0203
30867456,471,2,3157.37,220.0527,32.5719,0.0234
30932992,472,2,3135.47,226.0288,32.5747,0.0231
30998528,473,2,3007.80,210.4319,32.5777,0.0218
31064064,474,2,3009.58,213.7265,32.5805,0.0238
31129600,475,2,3099.98,234.2719,32.5776,0.0212
31195136,476,2,3034.56,229.6915,32.5781,0.0222
31260672,477,2,3144.38,214.9538,32.5793,0.0199
31326208,478,2,3163.15,214.7637,32.5800,0.0214
31391744,479,2,2984.93,208.8089,32.5791,0.0223
31457280,480,2,3146.14,245.9391,32.5761,0.0264
31522816,481,2,3197.62,231.2793,32.5756,0.0218
31588352,482,2,3079.44,240.7545,32.5764,0.0223
31653888,483,2,3124.34,217.9246,32.5830,0.0239
31719424,484,2,2981.33,202.0029,32.5827,0.0220
31784960,485,2,2831.46,229.5945,32.5777,0.0236
31850496,486,2,2873.12,219.6682,32.5730,0.0228
31916032,487,2,3049.31,233.7429,32.5687,0.0216
31981568,488,2,3130.99,236.8818,32.5703,0.0217
32047104,489,2,2951.52,230.0789,32.5737,0.0225
32112640,490,2,3097.81,218.0958,32.5805,0.0225
32178176,491,2,3038.63,229.6284,32.5825,0.0232
32243712,492,2,3092.01,228.4706,32.5866,0.0225
32309248,493,2,3168.51,233.0005,32.5930,0.0211
32374784,494,2,3178.66,239.1233,32.5954,0.0233
32440320,495,2,3122.61,225.9609,32.6044,0.0232
32505856,496,2,3108.42,236.9196,32.6153,0.0228
32571392,497,2,3087.27,221.6093,32.6144,0.0256
32636928,498,2,3106.28,248.7053,32.6079,0.0243
32702464,499,2,3036.94,238.8269,32.6108,0.0213
